subject_name subjectNumber block iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial isSurprise
al_ti_ 1999_08_12_349_m 676 3 1 0 63 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_noeffect.mov 786 25-Mar-2019 13:14:43 1.651951e+02 -1.208128e+02 0 1
al_ti_ 1999_08_12_349_m 676 3 2 0 77 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_noeffect.mov 664 25-Mar-2019 13:14:46 -2.999073e+02 -2.942881e+02 0 0
al_ti_ 1999_08_12_349_m 676 3 3 0 48 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_noeffect.mov 481 25-Mar-2019 13:14:49 4.319699e+02 -1.684995e+02 0 0
al_ti_ 1999_08_12_349_m 676 3 4 0 29 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_noeffect.mov 682 25-Mar-2019 13:15:07 1.161522e+02 4.024796e+02 0 1
al_ti_ 1999_08_12_349_m 676 3 5 0 6 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 784 25-Mar-2019 13:15:10 3.173008e+02 1.094654e+01 0 0
al_ti_ 1999_08_12_349_m 676 3 6 0 53 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 484 25-Mar-2019 13:15:13 -3.711196e+02 1.642191e+02 0 0
al_ti_ 1999_08_12_349_m 676 3 7 0 39 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/5_noeffect.mov 738 25-Mar-2019 13:15:16 -4.762017e+02 -2.219535e+02 0 0
al_ti_ 1999_08_12_349_m 676 3 8 0 56 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_noeffect.mov 920 25-Mar-2019 13:15:35 3.824861e+02 3.710137e+02 0 1
al_ti_ 1999_08_12_349_m 676 3 9 0 80 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_noeffect.mov 491 25-Mar-2019 13:15:38 -2.889766e+02 -3.857794e+02 0 0
al_ti_ 1999_08_12_349_m 676 3 10 0 25 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_noeffect.mov 622 25-Mar-2019 13:15:41 2.357484e+02 -1.129994e+01 0 0
al_ti_ 1999_08_12_349_m 676 3 11 0 7 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 573 25-Mar-2019 13:15:44 4.367071e+02 2.277180e+02 0 0
al_ti_ 1999_08_12_349_m 676 3 12 0 64 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_noeffect.mov 974 25-Mar-2019 13:16:05 -4.291586e+02 3.945005e+02 0 1
al_ti_ 1999_08_12_349_m 676 3 13 0 30 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_noeffect.mov 516 25-Mar-2019 13:16:08 -1.735510e+02 1.396528e+02 0 0
al_ti_ 1999_08_12_349_m 676 3 14 0 67 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_noeffect.mov 617 25-Mar-2019 13:16:11 4.205334e+02 -4.961778e+02 0 0
al_ti_ 1999_08_12_349_m 676 3 15 0 45 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_noeffect.mov 584 25-Mar-2019 13:16:14 1.344459e+02 2.820414e+02 0 0
al_ti_ 1999_08_12_349_m 676 3 16 0 76 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_noeffect.mov 602 25-Mar-2019 13:16:36 -8.684289e+01 5.949661e+01 0 1
