subject_name subjectNumber block iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial isSurprise
gi_re_1997_03_22_193_f 759 3 1 1 18 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_effect.mov 2784 15-Apr-2019 16:46:11 2.804211e+02 2.670907e+02 1 1
gi_re_1997_03_22_193_f 759 3 2 1 68 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_effect.mov 1245 15-Apr-2019 16:46:14 -1.640144e+01 2.292519e+02 1 0
gi_re_1997_03_22_193_f 759 3 3 1 8 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/1_noeffect.mov 1848 15-Apr-2019 16:46:19 3.940829e+02 3.060921e+02 1 0
gi_re_1997_03_22_193_f 759 3 4 1 64 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_noeffect.mov 1188 15-Apr-2019 16:46:40 -1.354227e+02 -4.715065e+02 0 1
gi_re_1997_03_22_193_f 759 3 5 1 51 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/7_effect.mov 1456 15-Apr-2019 16:46:44 -1.548809e+02 -4.860913e+02 1 0
gi_re_1997_03_22_193_f 759 3 6 1 32 -45 -45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/4_noeffect.mov 1122 15-Apr-2019 16:46:47 -4.826775e+02 2.626232e+02 0 0
gi_re_1997_03_22_193_f 759 3 7 1 22 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_noeffect.mov 1292 15-Apr-2019 16:46:51 9.304812e+00 -4.540621e+02 0 0
gi_re_1997_03_22_193_f 759 3 8 1 57 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_effect.mov 1065 15-Apr-2019 16:47:12 2.492947e+00 3.296570e+02 1 1
gi_re_1997_03_22_193_f 759 3 9 1 65 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/9_effect.mov 896 15-Apr-2019 16:47:15 -2.004348e+02 -4.041993e+02 1 0
gi_re_1997_03_22_193_f 759 3 10 1 19 -45 45 left 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_effect.mov 802 15-Apr-2019 16:47:19 -2.226351e+02 4.867972e+02 1 0
gi_re_1997_03_22_193_f 759 3 11 1 61 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_noeffect.mov 738 15-Apr-2019 16:47:22 4.455788e+02 -4.808372e+02 0 0
gi_re_1997_03_22_193_f 759 3 12 1 21 45 45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/3_noeffect.mov 1084 15-Apr-2019 16:47:40 -4.916313e+02 4.646690e+02 0 1
gi_re_1997_03_22_193_f 759 3 13 1 46 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_noeffect.mov 634 15-Apr-2019 16:47:43 2.837322e+00 -1.949563e+02 0 0
gi_re_1997_03_22_193_f 759 3 14 1 42 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/6_effect.mov 1009 15-Apr-2019 16:47:47 4.172224e+02 3.185568e+02 1 0
gi_re_1997_03_22_193_f 759 3 15 1 62 45 -45 right 1 3 /Users/lab/Documents/experiments/2019/surprise/stim/8_noeffect.mov 746 15-Apr-2019 16:47:50 4.688941e+01 4.072002e+02 0 0
